Year-Month,Sales
2014-01,36517.98
2014-02,35207.14
2014-03,44735.5
2014-04,32802.52
2014-05,43809.7
2014-06,29548.55
2014-07,35805.2
2014-08,50546.08
2014-09,35245.6
2014-10,44978.67
2014-11,33709.89
2014-12,33719.05
2015-01,35667.86
2015-02,32837.99
2015-03,31623.53
2015-04,43791.85
2015-05,32925.92
2015-06,30757.12
2015-07,30998.78
2015-08,29119.649999999998
2015-09,27970.62
2015-10,39473.29
2015-11,33342.18
2015-12,32997.22
2016-01,42564.95
2016-02,39208.91
2016-03,35379.97
2016-04,29936.6
2016-05,29642.84
2016-06,35591.82
2016-07,38864.18
2016-08,33981.54
2016-09,32052.22
2016-10,42807.65
2016-11,45535.340000000004
2016-12,36680.56
2017-01,40197.88
2017-02,43304.72
2017-03,43001.59
2017-04,52450.21
2017-05,48818.62
2017-06,42997.31
2017-07,40517.29
2017-08,37670.48
2017-09,32501.18
2017-10,36159.45
2017-11,26332.32
2017-12,36550.46
