Category,Sub-Category,Total_Sales,Total_Profit,Profit Margin %
Office Supplies,Art,64774.18,11977.05,18.49
Office Supplies,Binders,68854.21,12490.64,18.14
Office Supplies,Supplies,63026.42,11031.28,17.5
Office Supplies,Labels,66854.93,11596.24,17.35
Office Supplies,Storage,63045.99,10900.26,17.29
Office Supplies,Fasteners,59729.76,10006.98,16.75
Technology,Phones,143323.14,23582.13,16.45
Office Supplies,Paper,59720.9,9709.16,16.26
Furniture,Chairs,144127.51,22102.75,15.34
Furniture,Furnishings,149959.83,22981.27,15.32
Technology,Copiers,159777.97,24319.57,15.22
Office Supplies,Envelopes,68447.26,10086.9,14.74
Technology,Machines,152846.6,21955.06,14.36
Furniture,Tables,147132.98,21103.83,14.34
Technology,Accessories,147160.36000000002,20654.24,14.04
Furniture,Bookcases,155798.45,21819.52,14.0
Office Supplies,Appliances,66299.49,9002.28,13.58
